sl,sw,pl,pw,type
(7.54-inf),(2.96-3.2),(5.72-6.31),(2.26-inf),virginica
(6.1-6.46),(3.2-3.44),(5.13-5.72),(2.26-inf),virginica
(6.1-6.46),(2.96-3.2),(5.13-5.72),(1.78-2.02),virginica
(5.74-6.1),(2.96-3.2),(4.54-5.13),(1.78-2.02),virginica
(6.82-7.18),(2.96-3.2),(5.13-5.72),(2.02-2.26),virginica
(6.46-6.82),(2.96-3.2),(5.13-5.72),(2.26-inf),virginica
(6.82-7.18),(2.96-3.2),(4.54-5.13),(2.26-inf),virginica
(5.74-6.1),(2.48-2.72),(4.54-5.13),(1.78-2.02),virginica
(6.46-6.82),(2.96-3.2),(5.72-6.31),(2.26-inf),virginica
(6.46-6.82),(3.2-3.44),(5.13-5.72),(2.26-inf),virginica
(6.46-6.82),(2.96-3.2),(5.13-5.72),(2.26-inf),virginica
(6.1-6.46),(2.48-2.72),(4.54-5.13),(1.78-2.02),virginica
(6.46-6.82),(2.96-3.2),(5.13-5.72),(1.78-2.02),virginica
(6.1-6.46),(3.2-3.44),(5.13-5.72),(2.26-inf),virginica
(5.74-6.1),(2.96-3.2),(4.54-5.13),(1.78-2.02),virginica
